drug_name	rank_geom	rank_combined	delta	cos_geom	cos_combined	cell
etoposide	1	3	-2	0.10805	0.08015	MCF7
methotrexate	3	2	1	0.09824	0.08121	MCF7
monobenzone	4	1	3	0.09516	0.08354	MCF7
resveratrol	5	6	-1	0.08324	0.06437	MCF7
5109870	6	8	-2	0.08247	0.05612	MCF7
0173570-0000	7	14	-7	0.07823	0.04957	PC3
ciclopirox	8	11	-3	0.07439	0.05111	MCF7
trifluridine	14	9	5	0.06396	0.05301	HL60
gallamine triethiodide	16	22	-6	0.0611	0.04448	PC3
crotamiton	17	13	4	0.06034	0.04984	MCF7
beta-escin	18	306	-288	0.06031	0.02831	PC3
trichostatin A	19	17	2	0.0598	0.04792	PC3
etynodiol	20	361	-341	0.05958	0.02651	HL60
scriptaid	23	15	8	0.058	0.04934	PC3
vorinostat	25	229	-204	0.05765	0.0306	PC3
diethylstilbestrol	26	301	-275	0.05712	0.02852	MCF7
astemizole	33	366	-333	0.05493	0.02637	MCF7
thioridazine	38	47	-9	0.05395	0.04024	PC3
carbamazepine	40	10	30	0.05367	0.05234	MCF7
8-azaguanine	41	1909	-1868	0.05361	0.01122	PC3
verapamil	42	270	-228	0.05348	0.02958	HL60
fluspirilene	43	823	-780	0.05308	0.01884	MCF7
pimozide	45	25	20	0.05272	0.04335	MCF7
15-delta prostaglandin J2	47	323	-276	0.05244	0.02766	PC3
suloctidil	48	33	15	0.05195	0.04222	MCF7
